Member,Name,PartyState,bioguide,LastName,FirstName,Party,State,State_Abbrev
"Blackwell, Lucien E. (Democratic - Pennsylvania)","Blackwell, Lucien E.",Democratic - Pennsylvania,B000517,Blackwell, Lucien E.,Democratic,Pennsylvania,PA
"Blagojevich, Rod R. (Democratic - Illinois)","Blagojevich, Rod R.",Democratic - Illinois,B000518,Blagojevich, Rod R.,Democratic,Illinois,IL
"Blanchard, James (Democratic - Michigan)","Blanchard, James",Democratic - Michigan,B000538,Blanchard, James,Democratic,Michigan,MI
"Blatnik, John Anton (Democratic - Minnesota)","Blatnik, John Anton",Democratic - Minnesota,B000550,Blatnik, John Anton,Democratic,Minnesota,MN
"Blaz, Ben G. (Republican - Guam)","Blaz, Ben G.",Republican - Guam,B000551,Blaz, Ben G.,Republican,Guam,
"Bliley, Tom (Republican - Virginia)","Bliley, Tom",Republican - Virginia,B000556,Bliley, Tom,Republican,Virginia,VA
"Blouin, Michael (Democratic - Iowa)","Blouin, Michael",Democratic - Iowa,B000567,Blouin, Michael,Democratic,Iowa,IA
"Blum, Rod (Republican - Iowa)","Blum, Rod",Republican - Iowa,B001294,Blum, Rod,Republican,Iowa,IA
"Blumenauer, Earl (Democratic - Oregon)","Blumenauer, Earl",Democratic - Oregon,B000574,Blumenauer, Earl,Democratic,Oregon,OR
"Blumenthal, Richard (Democratic - Connecticut)","Blumenthal, Richard",Democratic - Connecticut,B001277,Blumenthal, Richard,Democratic,Connecticut,CT
"Blunt Rochester, Lisa (Democratic - Delaware)","Blunt Rochester, Lisa",Democratic - Delaware,B001303,Blunt Rochester, Lisa,Democratic,Delaware,DE
"Blunt, Roy (Republican - Missouri)","Blunt, Roy",Republican - Missouri,B000575,Blunt, Roy,Republican,Missouri,MO
"Blute, Peter I. (Republican - Massachusetts)","Blute, Peter I.",Republican - Massachusetts,B000576,Blute, Peter I.,Republican,Massachusetts,MA
"Boccieri, John A. (Democratic - Ohio)","Boccieri, John A.",Democratic - Ohio,B001263,Boccieri, John A.,Democratic,Ohio,OH
"Boehlert, Sherwood (Republican - New York)","Boehlert, Sherwood",Republican - New York,B000586,Boehlert, Sherwood,Republican,New York,NY
"Boehner, John A. (Republican - Ohio)","Boehner, John A.",Republican - Ohio,B000589,Boehner, John A.,Republican,Ohio,OH
"Boggs, Corinne C. (Lindy) (Democratic - Louisiana)",#REF!,,B000592,#REF!,,,,
"Boland, Edward P. (Democratic - Massachusetts)","Boland, Edward P.",Democratic - Massachusetts,B000600,Boland, Edward P.,Democratic,Massachusetts,MA
"Bolling, Richard (Democratic - Missouri)","Bolling, Richard",Democratic - Missouri,B000605,Bolling, Richard,Democratic,Missouri,MO
"Bonamici, Suzanne (Democratic - Oregon)","Bonamici, Suzanne",Democratic - Oregon,B001278,Bonamici, Suzanne,Democratic,Oregon,OR
"Bond, Christopher S. (Republican - Missouri)","Bond, Christopher S.",Republican - Missouri,B000611,Bond, Christopher S.,Republican,Missouri,MO
"Boner, William H. (Democratic - Tennessee)","Boner, William H.",Democratic - Tennessee,B000615,Boner, William H.,Democratic,Tennessee,TN
"Bonilla, Henry (Republican - Texas)","Bonilla, Henry",Republican - Texas,B000617,Bonilla, Henry,Republican,Texas,TX
"Bonior, David E. (Democratic - Michigan)","Bonior, David E.",Democratic - Michigan,B000619,Bonior, David E.,Democratic,Michigan,MI
"Bonker, Don (Democratic - Washington)","Bonker, Don",Democratic - Washington,B000620,Bonker, Don,Democratic,Washington,WA
"Bonner, Jo (Republican - Alabama)","Bonner, Jo",Republican - Alabama,B001244,Bonner, Jo,Republican,Alabama,AL
"Bono Mack, Mary (Republican - California)","Bono Mack, Mary",Republican - California,B001228,Bono Mack, Mary,Republican,California,CA
"Bono, Sonny (Republican - California)","Bono, Sonny",Republican - California,B000622,Bono, Sonny,Republican,California,CA
"Booker, Cory A. (Democratic - New Jersey)","Booker, Cory A.",Democratic - New Jersey,B001288,Booker, Cory A.,Democratic,New Jersey,NJ
