,id.bioguide,handle,state,district,type,party,name.last
150,G000546,repsamgraves,MO,6.0,rep,Republican,Graves
151,G000560,reptomgraves,GA,14.0,rep,Republican,Graves
152,G000553,repalgreen,TX,9.0,rep,Democrat,Green
153,G000410,repgenegreen,TX,29.0,rep,Democrat,Green
154,G000568,repmgriffith,VA,9.0,rep,Republican,Griffith
155,G000551,repraulgrijalva,AZ,3.0,rep,Democrat,Grijalva
156,G000558,repguthrie,KY,2.0,rep,Republican,Guthrie
157,G000535,luisgutierrez,IL,4.0,rep,Democrat,Gutiérrez
158,H001051,reprichardhanna,NY,22.0,rep,Republican,Hanna
159,H001045,greggharper,MS,3.0,rep,Republican,Harper
160,H001052,repandyharrismd,MD,1.0,rep,Republican,Harris
161,H001053,rephartzler,MO,4.0,rep,Republican,Hartzler
162,H000324,rephastingsfl,FL,20.0,rep,Democrat,Hastings
163,H001055,repjoeheck,NV,3.0,rep,Republican,Heck
164,H001046,martinheinrich,NM,None,sen,Democrat,Heinrich
165,H001036,rephensarling,TX,5.0,rep,Republican,Hensarling
166,H001056,herrerabeutler,WA,3.0,rep,Republican,Herrera Beutler
167,H001038,repbrianhiggins,NY,26.0,rep,Democrat,Higgins
168,H001047,jahimes,CT,4.0,rep,Democrat,Himes
169,H000636,usreprhinojosa,TX,15.0,rep,Democrat,Hinojosa
170,H001042,maziehirono,HI,None,sen,Democrat,Hirono
171,H001061,senjohnhoeven,ND,None,sen,Republican,Hoeven
172,H001034,repmikehonda,CA,17.0,rep,Democrat,Honda
173,H000874,whiphoyer,MD,5.0,rep,Democrat,Hoyer
174,H001057,conghuelskamp,KS,1.0,rep,Republican,Huelskamp
175,H001058,rephuizenga,MI,2.0,rep,Republican,Huizenga
176,H001059,rephultgren,IL,14.0,rep,Republican,Hultgren
177,H001048,rep_hunter,CA,50.0,rep,Republican,Hunter
178,H001060,reproberthurt,VA,5.0,rep,Republican,Hurt
179,I000055,senatorisakson,GA,None,sen,Republican,Isakson
180,I000057,repsteveisrael,NY,3.0,rep,Democrat,Israel
181,I000056,darrellissa,CA,49.0,rep,Republican,Issa
182,J000032,jacksonleetx18,TX,18.0,rep,Democrat,Jackson Lee
183,J000290,replynnjenkins,KS,2.0,rep,Republican,Jenkins
184,J000292,repbilljohnson,OH,6.0,rep,Republican,Johnson
