All,Name,Party,State,bioguide
"Goldwater, Barry, Jr. (Republican - California)","Goldwater, Barry, Jr. ",Republican , California),G000268
"Grisham, Wayne R. (Republican - California)","Grisham, Wayne R. ",Republican , California),G000480
"Gubser, Charles S. (Republican - California)","Gubser, Charles S. ",Republican , California),G000512
"Hahn, Janice (Democratic - California)","Hahn, Janice ",Democratic , California),H001063
"Hamburg, Dan (Democratic - California)","Hamburg, Dan ",Democratic , California),H000096
"Hanna, Richard T. (Democratic - California)","Hanna, Richard T. ",Democratic , California),H000164
"Hannaford, Mark W. (Democratic - California)","Hannaford, Mark W. ",Democratic , California),H000166
"Harman, Jane (Democratic - California)","Harman, Jane ",Democratic , California),H000213
"Harris, Kamala D. (Democratic - California)","Harris, Kamala D. ",Democratic , California),H001075
"Hawkins, Augustus F. (Democratic - California)","Hawkins, Augustus F. ",Democratic , California),H000367
"Hayakawa, Samuel Ichiye (Republican - California)","Hayakawa, Samuel Ichiye ",Republican , California),H000384
"Herger, Wally (Republican - California)","Herger, Wally ",Republican , California),H000528
"Hinshaw, Andrew J. (Republican - California)","Hinshaw, Andrew J. ",Republican , California),H000638
"Holifield, Chet (Democratic - California)","Holifield, Chet ",Democratic , California),H000713
"Honda, Michael M. (Democratic - California)","Honda, Michael M. ",Democratic , California),H001034
"Horn, Stephen (Republican - California)","Horn, Stephen ",Republican , California),H000789
"Hosmer, Craig (Republican - California)","Hosmer, Craig ",Republican , California),H000802
"Huffington, Michael (Republican - California)","Huffington, Michael ",Republican , California),H000912
"Huffman, Jared (Democratic - California)","Huffman, Jared ",Democratic , California),H001068
"Hunter, Duncan (Republican - California)","Hunter, Duncan ",Republican , California),H000981
"Hunter, Duncan D. (Republican - California)","Hunter, Duncan D. ",Republican , California),H001048
"Issa, Darrell E. (Republican - California)","Issa, Darrell E. ",Republican , California),I000056
"Johnson, Harold T. (Democratic - California)","Johnson, Harold T. ",Democratic , California),J000135
"Ketchum, William M. (Republican - California)","Ketchum, William M. ",Republican , California),K000153
"Khanna, Ro (Democratic - California)","Khanna, Ro ",Democratic , California),K000389
"Kim, Jay (Republican - California)","Kim, Jay ",Republican , California),K000181
"Knight, Stephen (Republican - California)","Knight, Stephen ",Republican , California),K000387
"Konnyu, Ernest L. (Republican - California)","Konnyu, Ernest L. ",Republican , California),K000309
"Krebs, John H. (Democratic - California)","Krebs, John H. ",Democratic , California),K000325
"Kuykendall, Steven T. (Republican - California)","Kuykendall, Steven T. ",Republican , California),K000357
"Lagomarsino, Robert J. (Republican - California)","Lagomarsino, Robert J. ",Republican , California),L000020
"LaMalfa, Doug (Republican - California)","LaMalfa, Doug ",Republican , California),L000578
"Lantos, Tom (Democratic - California)","Lantos, Tom ",Democratic , California),L000090
"Lee, Barbara (Democratic - California)","Lee, Barbara ",Democratic , California),L000551
"Leggett, Robert L. (Democratic - California)","Leggett, Robert L. ",Democratic , California),L000221
"Lehman, Richard H. (Democratic - California)","Lehman, Richard H. ",Democratic , California),L000225
"Levine, Mel (Democratic - California)","Levine, Mel ",Democratic , California),L000264
"Lewis, Jerry (Republican - California)","Lewis, Jerry ",Republican , California),L000274
"Lieu, Ted (Democratic - California)","Lieu, Ted ",Democratic , California),L000582
"Lloyd, James F. (Democratic - California)","Lloyd, James F. ",Democratic , California),L000379
"Lofgren, Zoe (Democratic - California)","Lofgren, Zoe ",Democratic , California),L000397
"Lowenthal, Alan S. (Democratic - California)","Lowenthal, Alan S. ",Democratic , California),L000579
"Lowery, Bill (Republican - California)","Lowery, Bill ",Republican , California),L000479
"Lungren, Daniel E. (Republican - California)","Lungren, Daniel E. ",Republican , California),L000517
