,week1,week2,week3,week4,week5,week6,week7,week8,week9,handle
repdwstweets,-31.90546225,-45.3221025,-28.973766,3.81055755,0.010264,-20.8104475,-19.95029175,-54.8077,-18.3282768471,repdwstweets
repebj,-41.81952,-5.82353,-63.9979225,-54.414,-31.53605,-44.61285,-36.890325,-4.70895666667,-107.64,repebj
repedroyce,8.09355475,5.2880382,19.53734,4.280352,1.14528983333,3.5194276,1.938726,1.6958214,2.0280916,repedroyce
repeliotengel,-33.3169701429,-50.3647234286,-18.6940583333,-24.950928,-25.0661125,-15.574002,-10.3945,-18.8783943333,-30.29535525,repeliotengel
reperikpaulsen,1.1161595,0.730498933333,1.87236733333,0.9329385,1.12083333333,-0.180410666667,3.778814,6.89425,0.2088765,reperikpaulsen
repesty,-32.1788849836,-16.31964,-39.093249,-25.93191,-5.214245,-14.197712,-31.15473,-16.4424,-0.663055633333,repesty
repevanjenkins,-1.37229,5.48786,,0.929032,1.03478,0.909836,1.17822,0.869231,1.13861,repevanjenkins
repfilemonvela,,,-3.25715,,,,,,-2.06316,repfilemonvela
repfinchertn08,,7.4625115,,20.33164467,2.20613525,10.8463,4.7449,0.796748,,repfinchertn08
repfitzpatrick,0.967105,,0.025,1.585715,,,1.02857,,1.069305,repfitzpatrick
repfleming,,3.95576,9.73685,31.2619,,3.26087,3.8665,,,repfleming
repfrankguinta,,2.88607,0.4748184,3.900565,,1.09709,,13.3235645,2.8401,repfrankguinta
repfranklucas,,,,,,,,,,repfranklucas
repfredupton,6.2853075,17.383616825,5.566586,9.74772833333,4.24886333333,1.8432245,2.8308575,1.316904,10.9683886,repfredupton
repfrenchhill,,11.1906933333,4.3875,4.01043,4.494398,5.781034,1.3010515,3.22049,2.3314736,repfrenchhill
repgaramendi,-1.0651865,-31.2997,-2.29206,,-1.095738,-1.06667,,-2.4206475,-1.01042,repgaramendi
repgarretgraves,1.22383026,1.0177975,,0.991301,2.14961666667,0.974138,2.71631,0.869231,,repgarretgraves
repgarrett,0.089041,6.5845,,,,,,,,repgarrett
repgenegreen,-4.41448,-6.61044,-0.00219357,-5.714955,-1.5562431456,,-1.01075,,,repgenegreen
repgoodlatte,9.56565,5.7631438,19.6871033333,13.93544,6.563406,5.10603,1.041311,9.63120656714,2.4579025,repgoodlatte
repgosar,,4.241765,2.8036318,0.953125,,,2.80825,2.39024,2.54293,repgosar
repgracemeng,-39.335906,-43.7280014286,-3.019642,-5.13287847143,-3.00220333333,-2.70089,-2.608437,-3.362264,-10.3807333333,repgracemeng
